41800	82650
41966.6667	82533.3333
41983.3333	82933.3333
42033.3333	82750
42033.3333	82916.6667
42050	82583.3333
42100	82450
42100	83100
42133.3333	82750
42150	82966.6667
42166.6667	82816.6667
42233.3333	82550
42250	81916.6667
42250	82433.3333
42283.3333	83066.6667
42300	82716.6667
42300	83066.6667
42316.6667	82850
42316.6667	82900
42316.6667	82983.3333
42316.6667	83000
42333.3333	82000
42333.3333	82950
42333.3333	83033.3333
42400	82183.3333
42433.3333	81883.3333
42550	81966.6667
42566.6667	81683.3333
42583.3333	82166.6667
42583.3333	82366.6667
42600	81600
42633.3333	80450
42650	80816.6667
42666.6667	81216.6667
42700	81083.3333
42716.6667	81300
42716.6667	82483.3333
42750	81700
42783.3333	80200
42783.3333	80983.3333
42783.3333	81183.3333
42800	80066.6667
42816.6667	81433.3333
42816.6667	82466.6667
42833.3333	80300
42850	80500
42850	82466.6667
42866.6667	79566.6667
42866.6667	80733.3333
42883.3333	79233.3333
42883.3333	82150
42900	78933.3333
42900	79616.6667
42933.3333	80283.3333
42950	80050
42950	81616.6667
42950	81883.3333
42950	82116.6667
42966.6667	79750
42966.6667	82400
42983.3333	79250
42983.3333	80600
42983.3333	81250
43000	82400
43033.3333	79283.3333
43033.3333	80883.3333
43033.3333	81466.6667
43066.6667	79950
43083.3333	79050
43100	79050
43100	79533.3333
43100	80233.3333
43100	82000
43116.6667	79200
43116.6667	81433.3333
43133.3333	79100
43133.3333	80266.6667
43133.3333	80750
43150	79500
43166.6667	79050
43166.6667	79233.3333
43166.6667	79466.6667
43166.6667	81683.3333
43166.6667	81850
43183.3333	81400
43200	79266.6667
43200	79550
43200	80383.3333
43216.6667	79216.6667
43216.6667	79750
43233.3333	80550
43250	79066.6667
43250	79833.3333
43250	81133.3333
43266.6667	79933.3333
43283.3333	80450
43283.3333	81250
43283.3333	81466.6667
43300	81550
43316.6667	79800
43316.6667	80833.3333
43316.6667	81750
43333.3333	79883.3333
43333.3333	80916.6667
43333.3333	81050
43350	80300
43350	81483.3333
43366.6667	80983.3333
43383.3333	80316.6667
43383.3333	80716.6667
43400	80350
43400	80666.6667
43433.3333	79666.6667
43433.3333	80316.6667
43433.3333	81500
43450	65633.3333
43450	80500
43466.6667	80533.3333
43466.6667	81183.3333
43483.3333	80483.3333
43516.6667	65600
43516.6667	65733.3333
43516.6667	79616.6667
43516.6667	79883.3333
43516.6667	81166.6667
43533.3333	79650
43550	79583.3333
43550	80250
43550	81383.3333
43566.6667	65566.6667
43566.6667	80933.3333
43566.6667	81700
43583.3333	79533.3333
43583.3333	79716.6667
43600	65466.6667
43600	79500
43600	80550
43600	81533.3333
43616.6667	80583.3333
43633.3333	65350
43633.3333	65483.3333
43633.3333	79466.6667
43633.3333	80033.3333
43650	79933.3333
43666.6667	79416.6667
43683.3333	79766.6667
43683.3333	80433.3333
43700	65116.6667
43700	65783.3333
43700	79366.6667
43700	79416.6667
43700	79500
